org_mate,descrip
1,"Juzgado - Menor cuantía y/o Paz Civil"
2,"Juzgado - Menor cuantía y/o Paz Penal"
3,"Juzgado - Menor cuantía y/o Paz Mixto"
4,"Juzgado - Civil"
5,"Juzgado - Penal (Sistema Tradicional)"
6,"Juzgado - Penal (Sistema Penal Acusatorio)"
7,"Juzgado - Familiar"
8,"Juzgado - Mercantil"
9,"Juzgado - Justicia Especializada para Adolescentes"
10,"Juzgado - Indígena"
11,"Juzgado - De extinción de dominio"
12,"Juzgado - Mixta"
13,"Juzgado - De Control o Garantías (Sistema Penal Acusatorio)"
14,"Juzgado - De Ejecución"
15,"Juzgado - De Ejecución (Sistema Tradicional)"
16,"Juzgado - De Ejecución (Sistema Penal Acusatorio)"
17,"Juzgado - Otra"
18,"Sala - Civil"
19,"Sala - Penal"
20,"Sala - Penal (Sistema Tradicional)"
21,"Sala - Penal (Sistema Penal Acusatorio)"
22,"Sala - Familiar"
23,"Sala - Justicia Especializada para Adolescentes"
24,"Sala - Mixta"
25,"Sala - Otra"
26,"Tribunal - De Enjuiciamiento (Sistema Penal Acusatorio)"
27,"Tribunal - Juicio Oral en otras materias"
28,"Otro - Otra"
99,"No especificado"
