tieprisi,descrip
1,"Menor a 6 meses"
2,"De 6 meses hasta menos de 1 año"
3,"De 1 año hasta menos de 2 años"
4,"De 2 años hasta menos de 3 años"
5,"De 3 años hasta menos de 4 años"
6,"De 4 años hasta menos de 5 años"
7,"De 5 años hasta menos de 10 años"
8,"De 10 años hasta menos de 15 años"
9,"De 15 años hasta menos de 20 años"
10,"De 20 años hasta menos de 25 años"
11,"De 25 años hasta menos de 30 años"
12,"De 30 años hasta menos de 35 años"
13,"De 35 años hasta menos de 40 años"
14,"De 40 años hasta menos de 45 años"
15,"De 45 años hasta menos de 50 años"
16,"Más de 50 años"
99,"No especificado"
