years,pack,module,submodule,file,name,desc
"2013,2014,2015,2016,2017",México Evalúa,México Evalúa,México Evalúa,MEXEV_RANKING,Ranking de hallazgos,Ranking
2017,World Justice Project,World Justice Project,World Justice Project,wjp_ied,Índice de Estado de Derecho,Índice de Estado de Derecho
2017,CNPJE,Estructura organizacional y recursos,Agencias del Ministerio Público,agen_min,Agencias del Ministerio Público,"Número de las Agencias del Ministerio Público de la Procuraduría General de Justicia o Fiscalía General, al cierre de 2016."
2017,CNPJE,Estructura organizacional y recursos,Agencias del Ministerio Público,per_agen,Personal en las Agencias del Ministerio Público,"Personal con que contaban las Agencias del Ministerio Público de la Procuraduría General de Justicia o Fiscalía General, según su sexo, al cierre año 2016."
2017,CNPJE,Estructura organizacional y recursos,Agencias del Ministerio Público,pers_fun,Personal en las Agencias del Ministerio Público según sexo y agencia,"Personal con que contaban las Agencias del Ministerio Público de la Procuraduría General de Justicia o Fiscalía General, según tipo de agencia y sexo, al cierre del año 2016."
2017,CNPJE,Estructura organizacional y recursos,Agencias del Ministerio Público,per_dese,Personal en las Agencias del Ministerio Público según cargo y sexo,"Personal con que contaban las Agencias del Ministerio Público de la Procuraduría General de Justicia o Fiscalía General, según su cargo y sexo, al cierre del año 2016."
2017,CNPJE,Estructura organizacional y recursos,Agencias del Ministerio Público,fis_agen,Fiscales y agentes en las Agencias del Ministerio Público según tipo de sistema y sexo,"Fiscales y agentes con que contaban las Agencias del Ministerio Público de la Procuraduría General de Justicia o Fiscalía General, según tipo de sistema penal y sexo, al cierre del año 2016."
2017,CNPJE,Estructura organizacional y recursos,Estructura organizacional de la Procuraduría General de Justicia o Fiscalía General,prin_fun,Unidades administrativas según función principal,"Unidades administrativas que conformaban la estructura orgánica de la Procuraduría General de Justicia o Fiscalía General, según su función principal, al cierre del año 2016"
2017,CNPJE,Estructura organizacional y recursos,Recursos humanos y presupuestales,pres_pgj,Presupuesto de la Procuraduría General de Justicia o Fiscalía General,"Presupuesto de la Procuraduría General de Justicia o Fiscalía General, según su tipo, en el año 2016.)"
2017,CNPJE,Estructura organizacional y recursos,Servicios periciales y/o servicio médico forense,pers_for,Personal adscrito a la institución o unidad administrativa ,"Personal adscrito a la institución o unidad administrativa encargada de la función de Servicios Periciales y/o Servicio Médico Forense de la Procuraduría General de Justicia o Fiscalía General, según su sexo, al cierre del año 2016."
