ambito,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Distrito Federal,Durango,Estado de México,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Ámbito: 1 Coordinación y flujos de la información,42,89,36,39,44,126,45,35,51,98,6,98,32,42,34,58,44,44,114,47,42,42,35,57,55,82,82,42,46,47,64,34
1. 1 Subámbito Instancia de coordinación técnica (ICT),15,18,15,16,32,35,14,14,16,33,2,27,12,14,17,23,14,9,31,17,14,14,12,23,24,25,33,15,15,18,26,13
1.2 Sub ámbito Sistema de información sectorial (SIS),9,19,6,0,0,28,0,0,3,5,0,16,0,0,0,0,5,5,11,0,4,4,0,2,0,7,4,0,6,0,2,0
1.3 Sub ámbito Planificación del proceso (PI),9,24,6,15,12,27,13,13,16,21,2,24,15,10,4,15,5,12,38,14,14,14,13,15,14,17,15,7,15,9,16,13
1.4 Sub ámbito Instancia política de coordinación (IPC),9,28,9,8,20,36,18,8,16,39,2,31,5,18,13,20,20,18,34,16,10,10,10,17,17,33,30,20,10,20,20,8
Ámbito: 2 Simetría institucional,35,124,0,11,33,113,0,0,14,28,46,67,0,28,0,44,40,10,77,34,30,18,0,0,40,16,54,18,14,40,41,40
Ámbito: 3 Ritmos de la implementación,70,88,39,13,111,120,114,36,66,96,68,106,42,37,60,48,76,31,77,79,134,33,29,37,40,45,120,96,14,102,116,66
Ámbito 4: Participación ciudadana,30,56,52,59,57,68,38,84,66,53,13,43,18,49,11,51,52,55,96,50,66,14,54,66,66,90,66,66,14,66,74,14
Ámbito 5: Recursos,29,52,51,51,44,16,64,27,38,48,12,28,23,14,46,56,56,50,57,54,14,33,66,66,46,76,66,14,54,54,54,14
Puntaje total,206,409,178,173,309,443,261,182,235,323,145,342,115,170,151,257,268,190,421,264,286,140,184,226,247,309,388,236,142,309,349,168
