ambito,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Ciudad de México,Durango,Estado de México,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
Ámbito: 1 Coordinación y flujos de la información,46.5,137,39.5,43,83,140,53,43,53,106.5,10.5,116.5,40,50,63,63,49.5,59.5,136.5,53,59.5,59.5,40,66.5,63,83,89.5,50,49.5,63,66.5,37
1. 1 Subámbito Instancia de coordinación técnica (ICT),16.5,33.5,16.5,16.5,36.5,36.5,16.5,16.5,16.5,36.5,3.5,30,13.5,16.5,26.5,26.5,16.5,16.5,36.5,16.5,16.5,16.5,13.5,26.5,26.5,30,36.5,16.5,16.5,26.5,26.5,13.5
1.2 Sub ámbito Sistema de información sectorial (SIS),10,30,6.5,0,0,30,0,0,3.5,6.5,0,20,0,0,0,0,6.5,6.5,13.5,0,6.5,6.5,0,3.5,0,6.5,6.5,0,6.5,0,3.5,0
1.3 Sub ámbito Planificación del proceso (PI),10,33.5,6.5,16.5,16.5,33.5,16.5,16.5,16.5,23.5,3.5,26.5,16.5,13.5,16.5,16.5,6.5,16.5,46.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13.5,16.5,16.5,16.5,13.5
1.4 Sub ámbito Instancia política de coordinación (IPC),10,40,10,10,30,40,20,10,16.5,40,3.5,40,10,20,20,20,20,20,40,20,20,20,10,20,20,30,30,20,10,20,20,10
Ámbito: 2 Simetría institucional,40,186,0,14,40,186,0,0,14,40,80,120,0,40,0,54,40,14,94,40,54,54,0,14,54,14,54,54,14,40,54,54
Ámbito: 3 Ritmos de la implementación,80,134,40,14,120,160,120,40,66,106,120,146,120,40,120,54,146,54,94,146,134,134,134,146,54,40,134,134,14,134,146,146
Ámbito 4: Participación ciudadana,40,106,54,66,66,106,66,106,66,66,14,106,26,66,14,66,66,66,106,94,66,94,54,66,66,80,66,66,14,66,106,54
Ámbito 5: Recursos,40,80,54,54,54,80,66,66,40,54,14,80,54,14,54,66,66,54,66,54,14,66,66,66,54,66,66,14,54,54,54,14
Puntaje total,247,643,188,191,363,672,305,255,239,373,239,569,240,210,251,303,368,248,497,387,328,408,294,359,291,283,410,318,146,357,427,305
