cve_ent,ent,2013,2014,2015,2016,2017
1,Aguascalientes,206,247,357,231,234
2,Baja California,409,643,566,384,448
3,Baja California Sur,178,188,289,133,198
4,Campeche,173,191,281,157,160
5,Coahuila,261,305,275,228,311
6,Colima,182,255,275,220,223
7,Chiapas,309,363,418,264,270
8,Chihuahua,443,672,622,388,421
9,Ciudad de México,235,239,289,240,240
10,Durango,323,373,529,286,293
11,Guanajuato,342,569,649,390,476
12,Guerrero,115,240,268,131,134
13,Hidalgo,170,210,288,166,170
14,Jalisco,151,251,291,214,243
15,Estado de México,145,239,335,230,271
16,Michoacán,257,303,401,227,227
17,Morelos,268,368,404,251,253
18,Nayarit,190,248,298,176,176
19,Nuevo León,421,497,579,373,413
20,Oaxaca,264,387,337,217,273
21,Puebla,286,328,404,328,370
22,Querétaro,140,408,412,376,483
23,Quintana Roo,184,294,314,227,228
24,San Luis Potosí,226,359,368,233,238
25,Sinaloa,247,291,341,250,253
26,Sonora,309,283,260,171,177
27,Tabasco,388,410,417,323,351
28,Tamaulipas,236,318,308,227,258
29,Tlaxcala,142,146,286,188,188
30,Veracruz,309,357,368,173,176
31,Yucatán,349,427,567,354,391
32,Zacatecas,168,305,409,327,350
