file_name,column,short
agen_min.json,entidad,Entidad
agen_min.json,totalca1,Total
per_agen.json,entidad,Entidad
per_agen.json,sexo,Sexo
per_agen.json,totalca1,Total
pers_fun.json,entidad,Entidad
pers_fun.json,tipoagen,Tipo de agencia
pers_fun.json,sexostt,Total
pers_fun.json,sexos1,Hombres
pers_fun.json,sexos2,Mujeres
pers_fun.json,no_aplic,No aplica
per_dese.json,entidad,Entidad
per_dese.json,sexo_ne,Sexo
per_dese.json,perdestt,Total
per_dese.json,perdes1,Fiscales del Ministerio Público
per_dese.json,perdes2,Agentes del Ministerio Público
per_dese.json,perdes3,Secretarios del Ministerio Público
per_dese.json,perdes4,Actuarios del Ministerio Público
per_dese.json,perdes5,Peritos
per_dese.json,perdes6,Policías Ministeriales o Investigadores o Judiciales
per_dese.json,perdes7,Personal administrativo y de Apoyo
per_dese.json,perdes8,Otro
fis_agen.json,entidad,Entidad
fis_agen.json,sexo_ne,Sexo
fis_agen.json,fisagett,Total
fis_agen.json,fisage1,Sistema Tradicional - Agentes del Ministerio Público
fis_agen.json,fisage2,Sistema Tradicional - Fiscales del Ministerio Público
fis_agen.json,fisage4,Sistema Penal Acusatorio - Agentes del Ministerio Público
fis_agen.json,fisage5,Sistema Penal Acusatorio - Fiscales del Ministerio Público
fis_agen.json,fisagent,No especificado - Total
prin_fun.json,entidad,Entidad
prin_fun.json,fun_prin,Función principal
prin_fun.json,totalca1,Total
pres_pgj.json,entidad,Entidad
pres_pgj.json,tip_pres,Tipo de presupuesto
pres_pgj.json,totalca1,Total
pers_for.json,entidad,Entidad
pers_for.json,sexo,Sexo
pers_for.json,totalca1,Total
pe_regis.json,entidad,Entidad
pe_regis.json,sexo_ne,Sexo
pe_regis.json,cargsptt,Total
pe_regis.json,cargsp1,Oficiales secretarios
pe_regis.json,cargsp2,Médicos forenses
pe_regis.json,cargsp3,Peritos
pe_regis.json,cargsp4,Químicos forenses
pe_regis.json,cargsp5,Trabajadores sociales
pe_regis.json,cargsp6,Personal administrativo y de apoyo
pe_regis.json,cargsp7,Otro
aver_ini.json,entidad,Entidad
aver_ini.json,avprcain,Tipo de sistema
aver_ini.json,totalca1,Total
deli_eje.json,entidad,Entidad
deli_eje.json,delitos,Tipo de delito
vict_reg.json,entidad,Entidad
vict_reg.json,averaini,Tipo de sistema
vict_reg.json,vicreg1,Hombres
vict_reg.json,vicreg2,Mujeres
vict_reg.json,vicreg3,No identificada
vict_reg.json,vicreg4,Personas morales
vict_reg.json,vicreg5,Sociedad
vict_reg.json,vicreg6,Estado
vict_reg.json,vicreg7,Otro
vict_reg.json,vicreg8,No identificada
vict_reg.json,vicreg9,No identificada
vict_eda.json,entidad,Entidad
vict_eda.json,ran_edad,Edad
vict_eda.json,avcahmtt,Total
vict_eda.json,avcahm1,Averiguaciones previas iniciadas - Hombres
vict_eda.json,avcahm2,Averiguaciones previas iniciadas - Mujeres
vict_eda.json,avcahm4,Carpetas de investigación abiertas  - Hombres
vict_eda.json,avcahm5,Carpetas de investigación abiertas  - Mujeres
incu_reg.json,entidad,Entidad
incu_reg.json,averaini,Tipo de sistema
incu_reg.json,sexoidtt,Total
incu_reg.json,sexoid1,Hombres
incu_reg.json,sexoid2,Mujeres
incu_reg.json,sexoid3,No identificado
incu_reg.json,sexoid4,Otro
incu_eda.json,entidad,Entidad
incu_eda.json,rangedad,Edad
incu_eda.json,avcahmtt,Total
incu_eda.json,avcahm1,Averiguaciones previas iniciadas - Hombres
incu_eda.json,avcahm2,Averiguaciones previas iniciadas - Mujeres
incu_eda.json,avcahm4,Carpetas de investigación abiertas  - Hombres
incu_eda.json,avcahm5,Carpetas de investigación abiertas  - Mujeres
avcarpin.json,entidad,Entidad
avcarpin.json,tipacdet,Tipo de sistema
